company,title,count,title_norm,manual_department
Starbucks,District Manager,41,district manager,
Deloitte,Senior Audit Manager,27,senior audit manager,
Sammons Retirement Solutions,Internal Wholesaler,12,internal wholesaler,
Cancer Research UK,Volunteer,29,volunteer,
Concord Wealth Management,Financial Advisor,16,financial advisor,
Discover Financial Services,Sr. Underwriter,18,sr underwriter,
Ernst & Young,IT Auditor,28,it auditor,
PaineWebber,Corporate Vice President,12,corporate vice president,
KPMG,Analyst,157,analyst,
Infosys,Tech Analyst,13,tech analyst,
CNA Insurance,Actuarial Intern,16,actuarial intern,
State Street,Financial Reporting Team Leader,16,financial reporting team leader,
Citigroup,Executive Administrative Assistant,23,executive administrative assistant,
CMC Ltd,Intern,14,intern,
BNY Mellon,Customer Service Representative,157,customer service representative,
Credit Suisse,Private Banking Assistant,32,private banking assistant,
The Blackstone Group,Financial Analyst,29,financial analyst,
American Express,Business Travel Account Analyst,13,business travel account analyst,
BMO Capital Markets,"Vice President, Corporate Banking",16,vice president corporate banking,
Liberty University,Adjunct Professor,12,adjunct professor,
Sam's Club,Supervisor,27,supervisor,
Barclays Investment Bank,Credit Research Summer Analyst,12,credit research summer analyst,
J.P. Morgan,Mutual Fund Analyst,13,mutual fund analyst,
Industrial Bank of Korea,Banker,16,banker,
U.S. Bank,Administrative Assistant,409,administrative assistant,
J.P. Morgan,Software Engineering Intern,46,software engineering intern,
Bank of America,work experience,22,work experience,
Mars,Marketing,48,marketing,
IBM Global Services,System Engineer,35,system engineer,
TD,Technical Analyst,16,technical analyst,
"Ameriprise Financial Services, Inc.",Customer Service Professional,47,customer service professional,
company,management,22,management,
Capital One,Tech Lead,52,tech lead,
Cerner Corporation,Consulting Analyst,34,consulting analyst,
Wells Fargo,"VP, Relationship Manager",20,vp relationship manager,
Bank of the West,Regional Manager,17,regional manager,
State Street Bank,Financial Analyst,40,financial analyst,
Capital One,Account Coordinator,14,account coordinator,
Frandsen Bank & Trust,Personal Banker,18,personal banker,
United States Air Force,Colonel,12,colonel,
EY,Audit Intern,299,audit intern,
TD Canada Trust,Financial Service Representative,54,financial service representative,
Chase,Vice President / Branch Manager,22,vice president / branch manager,
J.P. Morgan,ED,28,ed,
